Div DNA DNA/Academ-H DNA/CMC-EnSpm DNA/Crypton-F DNA/Ginger DNA/Ginger-2 DNA/IS3EU DNA/Kolobok-H DNA/MULE-MuDR DNA/MULE-MuDR? DNA/Maverick DNA/Merlin DNA/P DNA/P-Fungi DNA/PIF-Harbinger DNA/PiggyBac DNA/Sola-2 DNA/TcMar-Ant1 DNA/TcMar-Fot1 DNA/TcMar-ISRm11 DNA/TcMar-Pogo DNA/TcMar-Sagan DNA/TcMar-Tc1 DNA/TcMar-Tigger DNA/hAT-Ac DNA/hAT-Charlie DNA/hAT-hAT19 DNA/hAT-hATw LINE/CR1 LINE/CRE LINE/Deceiver LINE/L1 LINE/L1-Tx1 LINE/Penelope LINE/Tad1 LTR LTR/Copia LTR/Gypsy LTR/Unknown RC/Helitron Satellite Simple_repeat Unknown rRNA 
18 753 0 0 0 45 9651 0 0 774462 0 49799 6822 0 0 0 7659 8374 0 0 0 1731 49 49 13297 0 1076 238 0 2405 50 0 3703 8912 0 92 57 195 7474623 1505078 42129 0 0 4163125 0 
19 4044 0 47 0 0 13819 0 47 661604 0 44356 7406 0 0 52 3674 18000 0 0 0 2301 0 59 12067 0 1206 477 64 5949 0 0 9031 11572 0 190 0 414 6849205 1428145 26042 0 0 3998670 0 
20 6169 0 0 0 0 24456 0 0 701740 0 35021 7160 0 0 0 5055 11382 0 0 0 1490 0 0 7564 0 6531 1920 0 5015 0 0 6805 8854 0 17 0 427 6282968 1286371 14674 0 0 4016123 0 
21 4264 0 0 0 0 36257 64 0 703639 0 32801 1864 0 0 0 264 11252 0 0 0 2440 0 0 33871 0 6133 0 0 1678 0 0 6281 17732 0 54 57 447 5590130 1230799 9245 0 0 4051706 0 
22 4178 0 0 0 0 9022 0 62 649880 0 30628 2852 0 0 65 314 14857 0 0 0 1895 0 0 32355 0 4848 0 0 1235 0 0 6362 4772 73 280 0 270 5003860 1076277 13947 0 0 3990136 0 
23 4428 0 85 0 0 15222 0 0 552252 0 20793 3260 0 0 111 4675 3180 0 0 0 1141 0 0 20885 0 2283 0 0 3249 0 0 2488 19977 0 71 0 228 5022717 1017126 31847 94 0 3859723 0 
24 705 0 0 0 0 4751 0 0 563117 0 17170 7791 0 0 0 2030 6597 0 44 0 1155 0 0 29454 0 3992 0 0 6163 68 0 11239 11121 0 53 0 104 5159347 1046857 17381 0 0 3765675 60 
25 1817 0 0 0 0 7101 0 0 557479 0 11779 4838 0 0 0 2455 12032 0 0 0 2202 0 0 18466 0 827 1054 0 421 0 0 2267 7487 0 54 0 206 5079588 1043760 27084 191 0 3762963 0 
26 1619 105 0 0 0 5786 0 0 506673 0 11561 4062 0 0 0 3320 9181 0 80 0 2768 51 85 35512 0 1337 107 0 2819 0 0 7292 5270 0 0 0 167 5618154 992744 19775 0 0 3656632 0 
27 108 74 0 0 0 9642 0 0 438564 0 9196 6070 0 0 0 8628 2210 0 0 0 617 0 149 21071 0 3165 26 0 1952 0 0 4096 5102 0 200 0 432 6017572 1035539 23579 0 0 3591584 0 
28 3136 0 0 0 0 15545 0 0 458177 0 7310 8941 0 0 0 2764 2162 0 98 82 2163 0 0 28978 0 2835 0 0 2003 0 0 3315 2562 0 126 0 411 5987805 1039622 21338 0 0 3488669 0 
29 247 0 0 0 0 8289 0 0 389415 0 7425 6449 0 0 0 3332 2290 0 0 0 1262 0 0 33328 0 5137 0 0 3098 0 0 7756 4658 0 50 0 120 6470858 1064469 43716 0 0 3386655 0 
30 557 0 0 0 0 11055 0 0 420981 0 8795 5936 0 0 106 2481 1138 0 57 76 1725 0 0 24460 0 3749 8211 0 1883 0 0 9744 6806 0 62 0 0 6257889 1215071 36373 0 0 3219230 0 
31 1854 0 0 70 0 6235 0 0 355881 0 5645 3447 0 0 0 803 1764 0 0 0 1206 0 0 28954 0 4163 376 0 741 0 0 5510 8689 0 0 0 715 6124227 1120173 48979 0 0 3097796 0 
32 751 0 0 0 0 9267 0 0 349821 0 10951 6851 0 0 72 5844 3604 0 66 152 1101 0 0 35375 0 1026 929 0 571 0 0 14860 6753 0 0 0 506 6740712 1255073 48126 0 0 2935241 0 
33 2989 0 0 0 0 8504 0 0 349153 0 8045 7664 0 0 0 5757 1945 0 0 0 0 0 0 20276 0 3021 422 0 500 0 0 8452 6053 0 0 0 0 6440619 1182566 35472 0 0 2719061 346 
34 879 0 0 0 0 8304 0 0 274536 0 10444 7064 0 63 142 6775 2652 0 0 0 1561 0 0 27870 0 4275 2023 0 1082 0 0 7075 3088 0 42 14 0 5793609 1049225 31444 0 0 2547721 0 
35 988 0 0 0 0 9050 0 0 298044 0 7888 4426 0 0 0 9779 1781 0 0 380 1053 0 0 20648 46 0 8804 0 702 0 0 9143 3106 0 0 0 228 5639124 1041946 29997 0 0 2375889 0 
36 2769 0 0 0 0 11171 0 0 308100 0 5042 7803 0 0 0 9681 2150 0 0 0 0 0 0 23262 44 1246 7626 0 795 0 0 4813 2334 0 0 0 234 5625979 900223 25315 0 0 2079389 0 
37 2326 0 0 0 0 9857 0 0 265338 0 7628 9264 0 0 0 7044 2402 0 0 82 309 0 0 41900 26 532 9428 0 802 0 0 6124 463 0 0 0 0 5560145 848185 25194 0 0 1865222 0 
38 4386 0 0 0 0 9802 0 0 267460 0 7949 4939 0 0 0 6900 2798 0 0 0 784 0 0 25897 0 1750 7920 0 2229 0 0 5927 2525 0 0 0 225 4879593 700024 31432 0 0 1652649 0 
39 5660 0 0 0 0 7172 0 0 261462 0 5784 1123 0 0 0 5626 2903 0 0 0 0 0 0 31231 0 2713 3473 0 1673 0 0 3055 1218 0 0 0 0 4171573 671652 28247 0 0 1413201 0 
40 5336 0 0 0 0 6802 0 0 219679 0 4569 1324 0 0 180 10184 2424 0 0 0 0 0 0 29884 0 804 321 0 268 0 0 2404 1725 0 0 0 0 3904998 563700 37452 0 0 1156536 0 
41 2452 0 0 0 0 3881 0 0 217753 0 4628 3843 0 0 0 11811 3995 0 0 0 0 0 0 23368 0 0 258 0 292 0 0 3344 2088 0 0 0 0 3364623 508359 21351 0 0 1027303 0 
42 1989 0 0 0 0 6397 0 0 167909 0 1864 2227 0 0 0 17126 2604 0 0 0 0 0 0 39102 0 0 489 0 0 0 0 900 3153 0 0 0 0 3210888 432980 29251 0 0 865555 0 
43 2600 0 0 0 0 3607 0 0 171432 0 858 881 0 0 0 23010 2575 0 0 0 0 0 0 26396 0 0 2381 0 425 0 0 2225 4706 0 0 0 226 2887823 363475 14771 0 0 714521 0 
44 707 0 0 0 0 1155 0 0 170032 0 2597 2927 0 0 0 9728 3140 0 0 0 0 0 0 28629 0 1788 1121 0 872 0 0 265 4600 0 0 0 0 2596597 315647 10489 0 0 586043 0 
45 2241 0 0 0 0 2989 0 0 149629 0 0 1165 0 0 0 6364 1122 0 0 0 0 0 0 23519 0 0 0 0 1127 0 0 0 5405 0 0 0 0 2484631 258609 12636 0 0 463275 0 
46 2292 0 0 0 0 1175 0 0 143594 0 488 802 0 0 0 6315 1314 0 0 0 0 0 0 13586 0 0 163 0 0 0 0 506 4702 0 0 0 0 2182938 192458 2742 0 0 385607 0 
47 279 0 0 0 0 332 0 0 102197 0 538 844 0 0 0 2271 407 0 0 0 0 0 0 20277 0 0 1187 0 619 0 0 281 3141 0 0 0 0 1763037 174713 6109 0 0 310132 0 
48 1157 0 0 0 0 516 0 0 65298 0 0 0 0 0 0 245 390 0 0 0 0 0 0 13521 0 0 0 0 0 0 0 0 4101 0 0 0 0 1415770 127597 124 0 0 226374 0 
49 436 0 0 0 0 212 0 0 50545 0 0 0 0 0 0 1817 0 0 0 0 0 0 0 4467 0 0 0 0 0 0 0 152 3721 0 0 0 0 1134017 66139 953 0 0 168325 0 
50 0 0 0 0 0 0 0 0 41236 0 0 0 0 0 0 0 230 0 0 0 0 0 0 5943 0 0 0 0 0 0 0 0 1400 0 0 0 0 816421 68747 818 0 0 142557 0 
51 175 0 0 0 0 0 0 0 27067 0 0 0 0 0 0 555 0 0 0 0 0 0 0 3230 0 0 0 0 0 0 0 0 2359 0 0 0 0 528334 57833 398 0 0 146578 0 
52 351 0 0 0 0 273 0 0 17879 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2200 0 0 133 0 1372 0 0 0 1564 0 0 0 0 346780 33289 349 0 0 133873 0 
53 0 0 0 0 0 0 0 0 12093 0 0 0 0 0 0 0 0 0 0 0 0 0 0 702 0 0 0 0 0 0 0 0 315 0 0 0 0 230150 34694 1760 0 0 124513 0 
54 0 0 0 0 0 0 0 0 7099 0 0 0 0 0 0 0 0 0 0 0 0 0 0 715 0 0 0 0 0 0 0 0 406 0 0 0 0 118698 16459 0 0 0 101199 0 
55 0 0 0 0 0 0 0 0 3402 0 0 0 0 0 0 0 66 0 0 0 0 0 0 509 0 0 0 0 613 0 0 0 1239 0 0 0 0 67004 5014 592 0 0 83721 0 
56 0 0 0 0 0 0 0 0 2200 0 0 0 0 0 0 0 139 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 43648 6638 0 0 0 52379 0 
57 0 0 0 0 0 0 0 0 623 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27017 1152 0 0 0 44543 0 
58 0 0 0 0 0 0 0 0 1113 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17240 2130 0 0 0 26300 0 
59 0 0 0 0 0 0 0 0 249 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10426 1115 0 0 0 15528 0 
60 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3869 1048 0 0 0 7184 0 
61 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3496 763 0 0 0 4527 0 
62 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1360 0 0 0 0 3466 0 
63 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 397 747 0 0 0 2285 0 
64 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1112 0 
65 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 69 0 0 0 249 0 
66 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 451 0 
67 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
68 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 225 0 0 0 0 0 
69 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
70 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 184 0 0 0 0 0 0 
